ts,host,cpu_pct,mem_used_kb,mem_total_kb,mem_pct,load1,load5,load15,mid_pid,mid_cpu_pct,mid_rss_kb,mid_threads
2026-06-03T07:22:51Z,mid-server-aws-zabbix-stg-1,100.0,2971780,8011320,37.1,0.24,0.57,0.66,623638,0.1,86524,23
2026-06-03T07:22:56Z,mid-server-aws-zabbix-stg-1,53.1,2973672,8011320,37.1,0.22,0.56,0.65,623638,0.1,86524,23
2026-06-03T07:23:01Z,mid-server-aws-zabbix-stg-1,54.5,2973924,8011320,37.1,0.56,0.62,0.67,623638,0.1,86524,23
2026-06-03T07:23:06Z,mid-server-aws-zabbix-stg-1,3.2,2968752,8011320,37.1,0.52,0.61,0.67,623638,0.1,86524,23
2026-06-03T07:23:12Z,mid-server-aws-zabbix-stg-1,100.0,2968700,8011320,37.1,0.48,0.60,0.67,623638,0.1,86524,23
2026-06-03T07:23:17Z,mid-server-aws-zabbix-stg-1,3.2,2968700,8011320,37.1,0.44,0.59,0.66,623638,0.1,86524,23
2026-06-03T07:23:22Z,mid-server-aws-zabbix-stg-1,43.3,2967236,8011320,37.0,0.48,0.60,0.66,623638,0.1,86524,23
2026-06-03T07:23:27Z,mid-server-aws-zabbix-stg-1,54.8,2967232,8011320,37.0,0.45,0.59,0.66,623638,0.1,86524,23
2026-06-03T07:23:33Z,mid-server-aws-zabbix-stg-1,53.1,2963904,8011320,37.0,0.49,0.59,0.66,623638,0.1,86524,23
2026-06-03T07:23:38Z,mid-server-aws-zabbix-stg-1,53.1,2964648,8011320,37.0,0.53,0.60,0.66,623638,0.1,86524,23
2026-06-03T07:23:43Z,mid-server-aws-zabbix-stg-1,40.5,2963896,8011320,37.0,0.57,0.61,0.67,623638,0.1,86524,23
2026-06-03T07:23:48Z,mid-server-aws-zabbix-stg-1,3.2,2963896,8011320,37.0,0.52,0.60,0.66,623638,0.1,86524,23
2026-06-03T07:23:53Z,mid-server-aws-zabbix-stg-1,3.2,2963896,8011320,37.0,0.48,0.59,0.66,623638,0.1,86524,23
2026-06-03T07:23:59Z,mid-server-aws-zabbix-stg-1,3.2,2963888,8011320,37.0,0.44,0.58,0.65,623638,0.1,86524,23
